Sample,acmLKFE.M,acmLKFE.S,acmLKAA.M,acmLKAA.S,acmLKIE.M,acmLKIE.S,acmLAFE.M,acmLAFE.S,acmLFAA.M,acmLFAA.S,acmLHPFE.M,acmLHPFE.S,acmLHPAA.M,acmLHPAA.S,acmLHPIE.M,acmLHPIE.S,acmLSPFE.M,acmLSPFE.S,acmLSPML.M,acmLSPML.S,acmLSPIE.M,acmLSPIE.S,acmLFIE.M,acmLFIE.S,acmRKFE.M,acmRKFE.S,acmRKAA.M,acmRKAA.S,acmRKIE.M,acmRKIE.S,acmRAFE.M,acmRAFE.S,acmRFAA.M,acmRFAA.S,acmRFIE.M,acmRFIE.S,acmRAIE.M,acmRAIE.S,acmLAIE.M,acmLAIE.S,acmRSHTILT.M,acmRSHTILT.S,acmRSHTILTOFF.M,acmRSHTILTOFF.S,acmRSHOBLI.M,acmRSHOBLI.S,acmRSHOBLIOFF.M,acmRSHOBLIOFF.S,acmRSHROT.M,acmRSHROT.S,acmRSHROTOFF.M,acmRSHROTOFF.S,acmLSHTILT.M,acmLSHTILT.S,acmLSHTILTOFF.M,acmLSHTILTOFF.S,acmLSHOBLI.M,acmLSHOBLI.S,acmLSHOBLIOFF.M,acmLSHOBLIOFF.S,acmLSHROT.M,acmLSHROT.S,acmLSHROTOFF.M,acmLSHROTOFF.S,acmRHPFE.M,acmRHPFE.S,acmRHPAA.M,acmRHPAA.S,acmRHPIE.M,acmRHPIE.S,acmRSPFE.M,acmRSPFE.S,acmRSPML.M,acmRSPML.S,acmRSPIE.M,acmRSPIE.S,acmRPTILT.M,acmRPTILT.S,acmRPOBLI.M,acmRPOBLI.S,acmRPROT.M,acmRPROT.S,acmLPTILT.M,acmLPTILT.S,acmLPOBLI.M,acmLPOBLI.S,acmLPROT.M,acmLPROT.S
0,10.5,0,-1.4,0,-9.9,0,3.3,0,4.5,0,29.7,0,-6.4,0,-18.9,0,-54.9,0,-2.4,0,17.5,0,9.9,0,21,0,1.5,0,1,0,8,0,-8.3,0,4.5,0,-16.2,0,-7.6,0,58.9,0,15.2,0,-4.7,0,-3.1,0,-5.1,0,-10.9,0,58.9,0,15.3,0,0.7,0,-0.9,0,-2.2,0,3.5,0,35.9,0,-2.1,0,-11.9,0,-53.3,0,-6.3,0,5.5,0,5.7,0,1,0,1,0,4.8,0,1.7,0,15.4,0
1,12,0,-1.7,0,-9.6,0,2.3,0,5,0,29.9,0,-5.7,0,-19.4,0,-54.8,0,-2.7,0,17.2,0,9.7,0,22.1,0,1.5,0,1.4,0,6.6,0,-9.6,0,4.6,0,-16.6,0,-7.5,0,58.9,0,15.3,0,-4.7,0,-3.1,0,-5.2,0,-11,0,58.8,0,15.1,0,0.7,0,-0.9,0,-2.4,0,3.4,0,35.6,0,-2,0,-11.7,0,-53.3,0,-6.4,0,5.6,0,5.7,0,1.1,0,1,0,4.8,0,2,0,15,0
2,13.8,0,-2.1,0,-8.7,0,1.2,0,4.9,0,30.3,0,-5.1,0,-19.4,0,-54.6,0,-3,0,16.9,0,9.6,0,23.4,0,1.7,0,2.4,0,5.5,0,-11.6,0,5.1,0,-16.9,0,-7,0,58.9,0,15.3,0,-4.7,0,-3.1,0,-5.4,0,-11.1,0,58.6,0,15,0,0.7,0,-0.9,0,-2.5,0,3.3,0,35.3,0,-1.8,0,-11.1,0,-53.3,0,-6.7,0,5.7,0,5.7,0,1.4,0,0.9,0,4.9,0,2.3,0,14.6,0
3,15.8,0,-2.2,0,-7.1,0,0.5,0,3.7,0,30.7,0,-4.6,0,-18.8,0,-54.3,0,-3.2,0,16.5,0,9.7,0,24.9,0,2,0,3.6,0,5,0,-14.1,0,5.9,0,-16.9,0,-6.3,0,58.7,0,15.1,0,-4.7,0,-3.1,0,-5.4,0,-11.2,0,58.4,0,14.8,0,0.7,0,-0.9,0,-2.6,0,3.2,0,35.1,0,-1.5,0,-10.3,0,-53.2,0,-7,0,5.6,0,5.7,0,1.7,0,0.9,0,5.1,0,2.6,0,14.1,0
4,17.9,0,-2.1,0,-5.2,0,0.2,0,1.3,0,31,0,-4.1,0,-17.2,0,-53.8,0,-3.4,0,16.2,0,9.8,0,26.4,0,2.4,0,4.9,0,5,0,-16.7,0,6.6,0,-16.8,0,-5.6,0,58.5,0,14.8,0,-4.7,0,-3.1,0,-5.5,0,-11.3,0,58,0,14.4,0,0.7,0,-0.9,0,-2.7,0,3,0,34.9,0,-1.1,0,-9.3,0,-53,0,-7.4,0,5.6,0,5.7,0,2.1,0,0.7,0,5.2,0,2.8,0,13.7,0
5,19.8,0,-1.6,0,-3.4,0,0.4,0,-2.2,0,31.2,0,-3.7,0,-14.8,0,-53.2,0,-3.6,0,15.8,0,9.7,0,27.8,0,2.8,0,6.1,0,5.6,0,-18.9,0,6.9,0,-16.7,0,-5.3,0,58.1,0,14.5,0,-4.7,0,-3.1,0,-5.6,0,-11.3,0,57.6,0,13.9,0,0.7,0,-0.9,0,-2.9,0,2.9,0,34.6,0,-0.6,0,-8.4,0,-52.7,0,-7.9,0,5.5,0,5.7,0,2.6,0,0.7,0,5.4,0,2.9,0,13.2,0
6,21.6,0,-0.8,0,-1.7,0,1,0,-6.2,0,31.2,0,-3.2,0,-11.9,0,-52.6,0,-3.7,0,15.4,0,9.3,0,29,0,3.3,0,7,0,6.3,0,-20.5,0,6.9,0,-16.4,0,-5.2,0,57.8,0,14.2,0,-4.8,0,-3.1,0,-5.6,0,-11.4,0,57.1,0,13.4,0,0.8,0,-0.9,0,-3,0,2.7,0,34.3,0,0,0,-7.7,0,-52.3,0,-8.4,0,5.4,0,5.8,0,3.1,0,0.6,0,5.5,0,3.1,0,12.7,0
7,23,0,0.1,0,-0.4,0,1.7,0,-9.7,0,31.1,0,-2.7,0,-9.1,0,-51.9,0,-3.8,0,15,0,8.6,0,29.8,0,3.6,0,7.6,0,7.1,0,-21.5,0,6.4,0,-16.2,0,-5.5,0,57.5,0,13.9,0,-4.8,0,-3.1,0,-5.6,0,-11.3,0,56.5,0,12.9,0,0.8,0,-0.8,0,-3.1,0,2.6,0,33.8,0,0.6,0,-7.2,0,-51.9,0,-8.8,0,5.4,0,5.9,0,3.5,0,0.7,0,5.7,0,3.2,0,12.1,0
8,24.2,0,1,0,0.4,0,2.5,0,-12.3,0,30.9,0,-2.1,0,-6.8,0,-51.3,0,-3.9,0,14.4,0,7.7,0,30.3,0,3.8,0,7.8,0,7.8,0,-22,0,5.8,0,-16,0,-5.7,0,57.3,0,13.6,0,-4.7,0,-3.1,0,-5.5,0,-11.3,0,56.1,0,12.5,0,0.8,0,-0.8,0,-3.2,0,2.6,0,33.3,0,1.1,0,-6.8,0,-51.5,0,-9.2,0,5.4,0,6.1,0,3.9,0,0.8,0,5.9,0,3.3,0,11.5,0
9,25.2,0,1.6,0,0.7,0,3.3,0,-13.7,0,30.7,0,-1.5,0,-5,0,-50.8,0,-4,0,13.8,0,6.7,0,30.5,0,4,0,7.4,0,8.4,0,-22,0,5.2,0,-15.8,0,-5.8,0,57,0,13.4,0,-4.7,0,-3.1,0,-5.4,0,-11.2,0,55.9,0,12.2,0,0.8,0,-0.8,0,-3.2,0,2.6,0,32.6,0,1.7,0,-6.3,0,-51.2,0,-9.5,0,5.4,0,6.3,0,4.2,0,0.9,0,6.1,0,3.4,0,10.9,0
10,25.9,0,2,0,0.2,0,4.1,0,-14,0,30.3,0,-0.9,0,-3.6,0,-50.4,0,-4.1,0,13.1,0,5.7,0,30.4,0,4.2,0,6.6,0,9,0,-21.7,0,4.6,0,-15.7,0,-5.8,0,56.9,0,13.2,0,-4.7,0,-3.1,0,-5.2,0,-11,0,55.7,0,12.1,0,0.8,0,-0.8,0,-3.2,0,2.6,0,31.9,0,2.2,0,-5.8,0,-50.8,0,-9.8,0,5.3,0,6.5,0,4.4,0,1.1,0,6.3,0,3.5,0,10.3,0
11,26.3,0,2.4,0,-1,0,4.8,0,-13.2,0,29.9,0,-0.3,0,-2.5,0,-50.1,0,-4.1,0,12.4,0,4.7,0,30.2,0,4.5,0,5.4,0,9.4,0,-21.2,0,4.1,0,-15.6,0,-5.8,0,56.8,0,13.1,0,-4.7,0,-3.1,0,-5,0,-10.8,0,55.7,0,12,0,0.8,0,-0.8,0,-3.1,0,2.7,0,31,0,2.7,0,-5,0,-50.6,0,-10,0,5.2,0,6.6,0,4.6,0,1.3,0,6.5,0,3.6,0,9.7,0
